sid,sname,date,punishment_amount,punishment_type,conductor,object
000010,美丽生态,2020-08-13,--,公开谴责，通报批评,深圳证券交易所,本公司，江苏八达园林有限责任公司，公司时任董事长贾明辉，公司时任董事、总经理郑方，江苏八达园林有限责任公司原控股股东及法定代表人王仁年，江苏八达园林有限责任公司原股东及总经理王云杰，公司时任财务总监李卉，公司时任董事、董事会秘书单军，公司时任董事会秘书支佐，公司时任董事、副总经理王锐，公司时任董事、副总经理丁熊秀，公司时任董事蒋斌，公司时任独立董事王建华，公司时任独立董事徐斌，公司时任独立董事虞群娥，公司时任独立董事佘志莉，公司时任监事徐文慰，公司时任监事翟禹，重大资产重组财务顾问主办人严琦，重大资产重组财务顾问主办人董晓瑜
000010,美丽生态,2020-06-24,--,通报批评,深圳证券交易所,原控股股东深圳五岳乾坤投资有限公司
000010,美丽生态,2019-09-11,--,公开谴责,深圳证券交易所,公司股东王仁年
000010,美丽生态,2019-08-05,313.0000万元,罚款，警告，责令改正，行政处罚,中国证券监督管理委员会,本公司，公司子公司江苏八达园林有限责任公司，公司时任董事长贾明辉，八达园林总经理王云杰，八达园林法定代表人王仁年，时任董事、总经理郑方，时任财务总监李卉，前任董事会秘书支佐，时任董事会秘书单军，时任董事王锐，时任董事丁熊秀，时任董事蒋斌，时任董事王建华，时任董事徐斌，时任董事虞群娥，时任监事徐文慰，时任监事翟禹，时任董事佘志莉
000010,美丽生态,2019-07-05,313.0000万元,罚款，行政处罚,中国证券监督管理委员会,本公司，江苏八达园林有限责任公司，八达园林法定代表人王仁年，时任八达园林总经理王云杰，时任董事长贾明辉，时任董事、总经理郑方，时任财务总监李卉，曾任董事会秘书支佐，曾任董事会秘书单军，时任董事王锐，时任董事丁熊秀，时任副董事长蒋斌，时任独立董事佘志莉，时任独立董事王建华，时任独立董事徐斌，时任独立董事虞群娥，时任监事徐文慰，时任监事翟禹
000010,美丽生态,2017-07-07,--,责令改正，责令整改,中国证券监督管理委员会深圳监管局,本公司
000010,美丽生态,2015-12-23,--,通报批评,深圳证券交易所,本公司，公司控股股东深圳五岳乾坤投资有限公司，董事长贾明辉，总经理郑方
000011,深物业A,2009-12-07,--,行政处罚,中国证券监督管理委员会,本公司
000012,南玻A,2019-11-01,--,其他,中国证券监督管理委员会深圳监管局,本公司
000012,南玻A,2017-12-20,--,通报批评,深圳证券交易所,本公司，时任公司董事长兼首席执行官曾南，时任董事兼副总裁吴国斌，时任公司董事兼副总裁柯汉奇，时任公司独立董事陈潮，时任公司财务总监罗友明
000014,沙河股份,2001-05-19,--,公开谴责,深圳证券交易所,华源实业(集团)股份有限公司，陈平
000016,深康佳A,2009-11-28,--,行政处罚,中华人民共和国财政部,本公司
000018,神城A退,2020-10-14,290.0000万元,罚款，警告，责令改正，行政处罚,中国证券监督管理委员会深圳监管局,本公司，神州长城实际控制人、董事长陈略，时任神州长城副董事长、副总经理、总经李尔龙，时任神州长城副总经理、财务总监唐先勇，时任神州长城财务经理任阿萍，时任神州长城总经理、董事田威，时任神州长城董事会秘书、财务总监杨春玲，时任神州长城董事、副总经理彭立志，时任神州长城副总经理汪哨骏，时任神州长城监事、副总经理方献忠，时任神州长城副总经理张健，时任神州长城董事、副总经理梁荣，时任神州长城财务总监、副总经理崔红丽，时任神州长城董事梁勇，时任神州长城监事黄胜得，时任神州长城监事秦远新，时任神州长城监事庞霭生，时任神州长城监事吴晓明
000018,神城A退,2020-04-30,--,通报批评,深圳证券交易所,公司股东李巧丽
000018,神城A退,2020-04-13,--,通报批评,深圳证券交易所,本公司，董事长陈略，董事会秘书杨春玲，总经理田威，财务总监唐先勇，财务总监崔红丽
000018,神城A退,2019-03-07,--,责令改正，其他,中国证券监督管理委员会深圳监管局,本公司，公司董事、高级管理人员陈略先，公司董事、高级管理人员陈略，公司董事、高级管理人员田威，公司董事、高级管理人员唐先勇，公司董事、高级管理人员崔红丽，公司董事、高级管理人员杨春玲
000020,深华发A,2017-01-06,--,公开谴责,深圳证券交易所,本公司，公司实际控制人、董事长兼总经理李中秋
000020,深华发A,2017-01-05,--,公开谴责，通报批评,深圳证券交易所,本公司，本公司实际控制人、董事长兼总经理李中秋，时任本公司董事陈志刚，时任本公司副总经理唐敢于，时任本公司董事会秘书翁小珏，时任本公司财务总监曹丽
000020,深华发A,2016-12-24,84.0000万元,罚款，警告，责令改正，行政处罚,中国证券监督管理委员会深圳监管局,本公司，公司董事长兼总经理李中秋，公司董事陈志刚，公司发副总经理唐敢于，公司董事会秘书翁小珏，公司财务总监曹丽
000023,深天地A,2019-08-02,--,责令改正,中国证券监督管理委员会深圳监管局,实际控制人林凯旋
000023,深天地A,2016-01-30,610.0000万元,罚款，行政处罚,中国证券监督管理委员会,公司股东深圳市投资控股有限公司
000023,深天地A,2001-09-04,--,公开谴责,深圳证券交易所,本公司
000025,特力A,2015-12-22,--,责令改正，行政处罚，责令整改,中国证券监督管理委员会深圳监管局,本公司
000025,特力A,2015-12-21,--,通报批评,深圳证券交易所,本公司，董事长兼董秘吕航，董事兼总经理丁辉，董事兼财务总监杨剑平
000029,深深房A,2001-09-04,--,公开谴责,深圳证券交易所,本公司
000033,新都退,2014-11-13,138.0000万元,罚款，警告，行政处罚,中国证券监督管理委员会深圳监管局,本公司，时任公司董事长、法定代表人和实际控制人李聚全，公司实际控制人郭耀名，公司董事戈然，时任公司董事陈桂生、王健涛、林汉章、吴娟辉
000034,神州数码,2007-10-09,30.0000万元,行政处罚，罚款,中国证券监督管理委员会,深圳市深信泰丰（集团）股份有限公司，肖水龙，王迎，丁力业，华毛肃，蔡锡民，邵华，张晓洁，洪乐平，廖睦群
000035,中国天楹,2006-11-04,70.0000万元,罚款，警告，行政处罚,中国证券监督管理委员会,中科健，侯自强、郝建学，曹传德、何小勇，陶笃纯
000035,中国天楹,2005-12-31,5.0000万元,行政处罚，罚款,中国证券监督管理委员会,本公司
000035,中国天楹,2005-05-27,--,公开谴责,深圳证券交易所,中国科健股份有限公司，侯自强、郝建学、姜斯栋、陶笃纯、杨清正、曹传德、杨少陵、夏一伦、王晓清、余亮亮、彭立东、雷啸林
000035,中国天楹,2002-04-10,--,公开谴责,深圳证券交易所,中国科健股份有限公司，董志刚
000035,中国天楹,2001-09-10,--,公开谴责,深圳证券交易所,本公司
000037,深南电A,2019-04-28,3.0000万元,罚款，行政处罚,中国证券监督管理委员会,冷济伟
000037,深南电A,2019-04-28,6.0000万元,罚款，行政处罚,中国证券监督管理委员会,曹冬芳
000037,深南电A,2019-04-28,13.9126万元,罚款，行政处罚,中国证券监督管理委员会,刘有国
000038,深大通,2020-06-11,--,责令改正,中国证券监督管理委员会深圳监管局,本公司
000038,深大通,2019-12-03,60.0000万元,罚款，警告，市场禁入，行政处罚,中国证券监督管理委员会,本公司，姜剑，李雪燕，黄卫华，牛超，李洁
000038,深大通,2019-11-19,60.0000万元,罚款，警告，行政处罚,中国证券监督管理委员会,本公司
000038,深大通,2019-09-11,--,公开谴责,深圳证券交易所,本公司，时任董事长袁娜，时任董事曹建发，时任执行总经理黄卫华，时任财务总监刘海滨
000038,深大通,2019-05-25,--,其他,中国证券监督管理委员会深圳监管局,本公司
000038,深大通,2016-12-29,--,通报批评,深圳证券交易所,本公司，本公司实际控制人姜剑，时任本公司董事会秘书郝亮
000038,深大通,2006-06-17,30.0000万元,行政处罚，罚款,中国证券监督管理委员会,深圳大通实业股份有限公司，王峰
000039,中集集团,2000-05-11,--,警告，行政处罚,中国证券监督管理委员会,中国国际海运集装箱(集团)股份有限公司，麦伯良，杜锋，曾北华，覃浩
000040,东旭蓝天,2020-11-19,--,通报批评,深圳证券交易所,本公司，公司时任董事长、总经理兼董事会秘书侯继伟，公司时任董事兼财务总监夏志勇，公司时任董事李明，公司董事李泉年，公司董事王甫民，公司董事黄志良，公司董事陈巍，公司独立董事陈爱珍，公司独立董事王立勇，公司时任独立董事何为，公司时任独立董事许健
000040,东旭蓝天,2012-12-31,60.0000万元,行政处罚，罚款,中国证券监督管理委员会,宝安鸿基地产集团股份有限公司，邱瑞亨，任国强，罗伟光，罗竣，余毓凡，邱圣凯，高文清，颜金辉，庄伟鑫，吕改秋，周可添，陈凤娇，何祥增，魏达志
000042,中洲控股,2019-04-20,30.0000万元,罚款，警告，责令改正，行政处罚,中国证券监督管理委员会深圳监管局,黄光亮
000042,中洲控股,2015-11-28,916.0000万元,罚款，警告，责令改正，行政处罚，其他,中国证券监督管理委员会,公司股东南昌联泰投资有限公司、深圳市联泰房地产有限公司，主管人员黄婉茹，其他责任人颜晓辉
000046,泛海控股,2020-09-09,--,其他,中国证券监督管理委员会北京监管局,本公司
000046,泛海控股,2020-05-26,--,其他,中国证券监督管理委员会北京监管局,本公司
000046,泛海控股,2014-10-10,--,其他,中国证券监督管理委员会,时任交银施罗德基金管理有限公司基金经理郑拓
000048,京基智农,2020-01-23,70.0000万元,罚款，警告，行政处罚,中国证券监督管理委员会,本公司，时任康达尔董事长罗爱华，时任康达尔总经理季圣智
000048,京基智农,2019-08-08,84.0000万元,罚款，行政处罚,厦门市同安生态环境局,公司控股子公司厦门康达尔牧新实业有限公司
000048,京基智农,2018-07-25,--,公开谴责，通报批评,深圳证券交易所,本公司深圳市康达尔(集团)股份有限公司，本公司高管何光明、罗爱华、潘同文、张明华、胡琴、黄馨、曾江虹、李晓锋、季圣智、祝九胜、夏希忠、胡隐昌、李邑宁、陈扬名、蒋艳华、李力夫、栾胜基
000048,京基智农,2017-02-15,--,通报批评,深圳证券交易所,本公司，董事长罗爱华，董事兼总裁季圣智，董事兼副总裁黄馨，董事、副总裁兼财务总监李力夫，董事潘同文，董事祝九胜，董事李邑宁，独立董事胡隐昌，独立董事陈扬名，独立董事栾胜基，独立董事曾江虹
000048,京基智农,2016-07-09,--,责令改正,中国证券监督管理委员会深圳监管局,本公司
000048,京基智农,2015-08-12,--,责令改正,中国证券监督管理委员会深圳监管局,本公司
000048,京基智农,2015-01-30,--,公开谴责,深圳证券交易所,林志
000048,京基智农,2013-04-25,--,通报批评，责令改正，责令整改,中国证券监督管理委员会深圳监管局,本公司，董事长兼总裁罗爱华，财务负责人朱文学
000048,京基智农,2012-12-31,30.0000万元,罚款，警告，责令改正，行政处罚,中国证券监督管理委员会,公司股东陈少忠
000048,京基智农,2001-03-09,--,公开谴责,深圳证券交易所,王海钧、石亚君、宁欣然、龚增力、张永政、赵翔明
000050,深天马A,2003-04-04,--,公开谴责,深圳证券交易所,深圳天马微电子股份有限公司
000055,方大集团,2006-07-15,50.0000万元,行政处罚，罚款,中国证券监督管理委员会,方大集团股份有限公司，熊建明，熊柱德，谢春，王胜国、朱卫平、卢卫卫，熊建伟
000056,皇庭国际,2011-09-28,--,通报批评,深圳证券交易所,深圳市泰天实业发展有限公司，黄桂珍
000056,皇庭国际,2009-11-21,--,公开谴责,深圳证券交易所,百利亚太投资有限公司，张晶、张化冰，曹剑
000060,中金岭南,2018-07-28,--,其他,中国证券监督管理委员会深圳监管局,公司全资子公司深圳金汇期货经纪有限公司
000063,中兴通讯,2008-10-07,16.0000万元,行政处罚，罚款,财政部驻深圳市财政监察专员办事处,本公司
000066,中国长城,2002-03-30,--,通报批评,深圳证券交易所,本公司
000068,华控赛格,2002-07-06,--,公开谴责,深圳证券交易所,深圳市赛格三星股份有限公司
000069,华侨城A,2014-10-10,--,其他,中国证券监督管理委员会,时任交银施罗德基金管理有限公司基金经理郑拓
000078,海王生物,2021-02-10,--,责令改正,中国证券监督管理委员会深圳监管局,本公司
000078,海王生物,2002-07-06,--,公开谴责,深圳证券交易所,本公司
000078,海王生物,2002-05-25,--,公开谴责,深圳证券交易所,本公司
000088,盐田港,2014-08-12,9.0100万元,罚款,中国证券监督管理委员会,李弘
000150,宜华健康,2021-01-12,--,其他,中国证券监督管理委员会广东监管局,本公司，陈奕民，刘壮青，邱海涛
000150,宜华健康,2019-08-09,--,通报批评,深圳证券交易所,公司实际控制人刘绍喜
000150,宜华健康,2006-03-03,--,公开谴责,深圳证券交易所,麦科特光电股份有限公司，许振东、蔡刚、徐祗祥、侯琦、李立新、陈树新、张伟、严清华、丁克义、汪军民、林岩、丁云林、刘为民
000155,川能动力,2012-08-24,--,责令改正，其他,中国证券监督管理委员会四川监管局,本公司
000156,华数传媒,2007-02-03,40.0000万元,行政处罚，罚款,中国证券监督管理委员会,湖南嘉瑞新材料集团股份有限公司，肖贤辉，万新红、段军，于立群、李健，刘金水、彭隆、彭建刚、邹奕红、廖正品、肖宗海、王晓勤
000156,华数传媒,2005-01-13,--,公开谴责,深圳证券交易所,湖南嘉瑞新材料集团股份有限公司，段军，肖贤辉，万新红，刘金水，于立群
000156,华数传媒,2002-04-17,--,公开谴责,深圳证券交易所,湖南安塑股份有限公司
000157,中联重科,2020-09-30,--,其他,深圳证券交易所,本公司
000158,常山北明,2016-10-22,--,警告,中国证券监督管理委员会河北监管局,本公司
000166,申万宏源,2015-11-07,--,其他,中国证券监督管理委员会,公司子公司申万宏源证券有限公司
000338,潍柴动力,2014-08-13,--,警告，其他,中国证券监督管理委员会山东监管局,陕西汽车集团有限责任公司
000338,潍柴动力,2014-08-12,--,警告，其他,中国证券监督管理委员会山东监管局,陕西法士特汽车传动集团有限责任公司
000401,冀东水泥,2014-09-11,1338.0000万元,罚款，行政处罚,吉林省物价局,公司子公司冀东水泥吉林有限责任公司
000402,金融街,1997-11-18,--,通报批评,中国证券监督管理委员会,重庆华亚现代纸业股份有限公司
000403,派林生物,2018-12-29,--,其他,中国证券监督管理委员会山西监管局,本公司，时任董事长史曜瑜，时任总经理罗军，时任财务负责人田晨峰
000403,派林生物,2018-11-17,--,其他,中国证券监督管理委员会山西监管局,振兴集团有限公司
000403,派林生物,2018-09-03,--,通报批评,深圳证券交易所,本公司，公司时任董事长、总经理、财务总监史曜瑜，董事会秘书闫治仲
000403,派林生物,2018-03-07,--,警告，行政处罚，其他,中国证券监督管理委员会山西监管局,本公司，董事长史曜瑜，振兴集团有限公司
000403,派林生物,2017-12-04,--,其他,深圳证券交易所,本公司
000403,派林生物,2017-02-06,--,通报批评,深圳证券交易所,本公司，公司控股股东振兴集团有限公司，公司实际控制人史珉志，本公司时任董事长、总经理史跃武，本公司时任董秘岳云生
000403,派林生物,2016-07-14,--,责令改正,中国证券监督管理委员会山西监管局,本公司
000403,派林生物,2015-12-18,--,警告,中国证券监督管理委员会山西监管局,本公司
000403,派林生物,2015-01-10,65.0000万元,罚款，警告，行政处罚,中国证券监督管理委员会,本公司，时任董事长史跃武，时任董事、常务副总经理原建民，时任董事曹正民、陈海旺、任彦堂、纪玉涛，独立董事田旺林、张建华、陈树章，董事会秘书岳云生
000403,派林生物,2014-10-28,--,通报批评,深圳证券交易所,本公司，公司董事长兼总经理史跃武，公司董事纪玉涛，公司董事任彦堂，公司董事陈海旺，公司董事兼副总经理、公司财务总监曹正民，公司董事兼常务副总经理(代行董事会秘书职责)原建民，公司时任董事会秘书岳云生
000403,派林生物,2014-09-16,--,警告，责令改正,中国证券监督管理委员会山西监管局,本公司
000403,派林生物,2014-08-08,--,责令整改,中国证券监督管理委员会山西监管局,本公司，公司股东
000403,派林生物,2014-07-02,--,警告，责令改正,中国证券监督管理委员会山西监管局,本公司，董事长、总经理史跃武，董事、常务副总经理原建民，董事、副总经理、财务总监曹正民，监事会主席宁保安，时任董事会秘书岳云生
000403,派林生物,2013-10-16,--,公开谴责，通报批评,深圳证券交易所,本公司，董事长兼总经理史跃武，董事兼财务总监曹正民，董事会秘书岳云生，董事原建民，董事纪玉涛，董事陈海旺，董事任彦堂，独立董事田旺林，独立董事陈树章，独立董事张建华，监事会主席宁保安，监事马彦平，监事刘民志，监事史曜瑜，监事谭新民，副总经理阎鸿
000403,派林生物,2012-01-30,--,公开谴责，通报批评,深圳证券交易所,曹正民，陈海旺，陈树章，刘民志，马彦平，宁保安，任彦堂，史振太，田旺林，原建民，岳云生，张建华，史跃武，振兴生化股份有限公司，史珉志
000403,派林生物,2007-11-29,--,公开谴责,深圳证券交易所,赵新先，梅伟伶，王宇虹，三九宜工生化股份有限公司
000404,长虹华意,2005-05-17,--,公开谴责,深圳证券交易所,华意压缩机股份有限公司，符念平、滕征朴、徐兆庆、余笑兵
000407,胜利股份,2019-06-28,--,通报批评,深圳证券交易所,本公司
000407,胜利股份,2012-12-24,3.0000万元,罚款，行政处罚,中国证券监督管理委员会,公司股东、公司参股公司青岛胜通海岸置业发展有限公司董事马刚
000407,胜利股份,2012-02-07,--,通报批评,深圳证券交易所,山东胜利股份有限公司，王鹏，王政，孟莲，刘志强
000408,*ST藏格,2021-04-02,--,其他,中国证券监督管理委员会青海证监局,本公司，时任公司董事长肖永明，时任公司董事、副总经理吴卫东，公司时任财务总监刘威，时任公司董事会秘书王一诺，公司董事长曹邦俊，公司总经理肖瑶，时任公司财务总监李凯
000408,*ST藏格,2021-04-02,--,责令改正,中国证券监督管理委员会青海证监局,公司股东、时任公司董事长肖永明，公司股东林吉芳，公司股东西藏藏格创业投资有限公司，公司股东四川省永鸿实业有限公司
000408,*ST藏格,2020-12-18,--,公开谴责，通报批评，其他,深圳证券交易所,本公司，公司控股股东西藏藏格创业投资集团有限公司，公司股东四川省永鸿实业有限公司，实际控制人、时任董事长肖永明，时任董事兼副总经理吴卫东，时任董事郑矩夫，时任独立董事王卫国，时任独立董事姚焕然，时任财务总监刘威，时任财务总监李凯，时任董事会秘书蒋秀恒，董事长曹邦俊，副董事长兼总经理肖瑶，董事兼副总经理黄鹏，董事兼副总经理方丽，董事王聚宝，独立董事亓昭英，监事邵静，监事李光俊，监事侯选明，副总经理张生顺
000408,*ST藏格,2019-12-03,229.0000万元,罚款，警告，市场禁入，责令改正，行政处罚,中国证券监督管理委员会青海监管局,本公司，肖永明，吴卫东，刘威，曹邦俊，肖瑶，王聚宝，郑钜夫，王卫国，姚焕然，亓昭英，邵静，侯选明，李光俊，蒋秀恒，方丽，张生顺
000408,*ST藏格,2019-09-11,--,公开谴责，通报批评,深圳证券交易所,本公司，公司控股股东西藏藏格创业投资集团有限公司，重组交易对手方四川省永鸿实业有限公司，公司实际控制人，时任董事长肖永明，公司副董事长、总经理肖瑶，董事、副总经理吴卫东，公司董事长，时任副董事长曹邦俊，公司时任董事郑矩夫，公司董事王聚宝，董事、副总经理方丽，公司副总经理张生顺，时任董事会秘书蒋秀恒，公司股东林吉芳
000408,*ST藏格,2017-09-06,--,通报批评,深圳证券交易所,本公司，实际控制人兼董事长肖永明，控股股东西藏藏格创业投资有限公司，公司副董事长曹邦俊，公司董事兼总经理肖瑶，公司董事兼总经理肖瑶，公司董事王聚宝，时任董事兼财务总监郑钜夫，时任董事马福强，公司监事邵静，公司监事李光俊，公司监事侯选民，公司副总经理吴卫东，公司副总经理方丽，公司董事会秘书蒋秀恒，时任董事会秘书兼副总经理李双，时任董事会秘书兼财务总监陈健
000408,*ST藏格,2017-06-15,--,警告，其他,中国证券监督管理委员会青海监管局,本公司，董事长肖永明，财务负责人、原董事会秘书陈健，金谷源董事、藏格投资财务总监马福强
000408,*ST藏格,2014-12-29,--,通报批评,深圳证券交易所,本公司，公司时任董事长兼总经理路联，公司董事长邢福立，公司董事秦文平，公司董事兼副总经理郭宝贵，公司董事兼财务总监郑钜夫，公司时任董事兼财务总监侯宪河，公司独立董事邵九林，公司独立董事周绍妮，公司独立董事胡国强，公司时任董事兼董事会秘书张春生
000408,*ST藏格,2014-10-16,53.0000万元,罚款，警告，行政处罚,中国证券监督管理委员会河北监管局,本公司，时任公司董事长兼总裁路联，时任公司董事及董事会秘书张春生
000408,*ST藏格,2014-03-31,--,公开谴责,深圳证券交易所,本公司，董事长兼总经理路联
000408,*ST藏格,2012-09-26,--,通报批评,深圳证券交易所,金谷源控股股份有限公司，路联，秦文平，侯宪河
000408,*ST藏格,2012-03-27,--,通报批评,深圳证券交易所,金谷源控股股份有限公司，侯宪河，路联，钱少敏，秦文平，徐辉文，张春生
000409,山东地矿,2019-07-27,--,责令改正,中国证券监督管理委员会山东监管局,本公司
000409,山东地矿,2019-06-20,104.0000万元,罚款，警告，行政处罚,中国证券监督管理委员会,本公司，时任董事长张虹，时任总经理张宪依，时任财务总监薛希凤，时任董事胡向东，时任董事郭长洲，时任董事万中杰，时任董事林少一，时任董事何宏满，时任独立董事王乐锦，时任独立董事陈志军，时任独立董事王爱，时任监事王传进，时任监事李玉峰，时任董事会秘书马立东
000409,山东地矿,2018-07-24,--,公开谴责，通报批评,深圳证券交易所,本公司山东地矿股份有限公司，时任本公司高管张虹，何宏满，郭长洲，胡向东，万中杰，林少一，陈志军，王乐锦，王爱，王传进，李玉峰，段东，张宪依，薛希凤，马立东，姜世涛
000409,山东地矿,2018-05-11,--,警告，责令改正,中国证券监督管理委员会山东监管局,本公司，本公司董事长张虹，总经理张宪依，副总经理董事会秘书马立东，财务总监薛希凤
000409,山东地矿,2017-07-13,--,公开谴责,深圳证券交易所,公司股东北京宝德瑞创业投资有限责任公司，公司股东山东地利投资有限公司，公司原股东山东华源创业投资有限公司，公司原股东褚志邦
000409,山东地矿,2006-03-18,40.0000万元,行政处罚，罚款,中国证券监督管理委员会,四通集团高科技股份有限公司，彭文辉，王兴俊，李德芳，程龙杰，邝剑锋，赵林业
000409,山东地矿,1999-12-06,800.0000万元,罚款，警告，市场禁入，行政处罚,中国证券监督管理委员会,四通集团高科技股份有限公司，杨朱生，欧流荣，朱伟雄，杨和，伍华养，李枝荣，柯健华，梁涛，伍金福，尹功仁
000410,*ST沈机,2021-01-23,--,责令改正,中国证券监督管理委员会辽宁监管局,本公司
000410,*ST沈机,2017-11-17,4.0000万元,罚款，警告，市场禁入，行政处罚,中国证券监督管理委员会,公司董事刘海洁，公司董事、财务总监蒋晶瑛
000410,*ST沈机,2017-05-19,70.0000万元,罚款，警告，责令改正，行政处罚,中国证券监督管理委员会,公司控股股东沈阳机床(集团)有限责任公司，沈机集团财务总监刘云侠
000411,英特集团,1997-11-18,--,通报批评,中国证券监督管理委员会,杭州凯地丝绸股份有限公司
000413,东旭光电,2020-12-11,--,通报批评,深圳证券交易所,本公司，公司实际控制人李兆廷，公司时任董事长武吉伟，公司时任董事长兼时任总经理王立鹏，公司时任总经理胡恒广，公司时任财务总监黄锦亮，公司时任财务总监冯秋菊，公司时任副总经理王建强，公司时任副总经理刘文泰
000413,东旭光电,2020-06-09,--,通报批评,深圳证券交易所,本公司股东石家庄宝石电子集团有限责任公司
000413,东旭光电,2020-05-11,--,通报批评,深圳证券交易所,本公司，本公司时任董事长王立鹏，本公司总经理胡恒广，本公司时任财务总监冯秋菊
000413,东旭光电,2007-01-09,--,警告，行政处罚,中国证券监督管理委员会,石家庄宝石电子玻璃股份有限公司，董庆祥
000413,东旭光电,2006-05-30,--,公开谴责,深圳证券交易所,深石家庄宝石电子玻璃股份有限公司，董庆祥、宋洪波、周波、叶慧芬、胡寿龄、马超、张浩、谢孟雄、樊振平、李惠明、张艳乔、李洪、姚军廷、郑德战、高大彩、杨光、张文海、周玉茂
000413,东旭光电,1998-09-14,--,警告，行政处罚,中国证券监督管理委员会,石家庄宝石电子玻璃股份有限公司，董庆祥、张虎官、王永山、王癉、周波、杜慧忠、王荣先、高铁占、李文良、王曦、刘正宏、宋洪波、米更勇、吕奉一
000415,渤海租赁,2019-09-30,--,通报批评,深圳证券交易所,公司控股股东海航资本集团有限公司
000416,民生控股,2014-03-14,8.0000万元,罚款，警告,中国证券监督管理委员会,董事、董事长考尚校
000417,合肥百货,2018-07-28,--,责令改正，其他,中国证券监督管理委员会安徽监管局,本公司
000418,小天鹅A,2006-09-20,--,公开谴责,深圳证券交易所,李石生、顾群、柴新建、卞杨林
000419,通程控股,2012-10-31,--,通报批评,深圳证券交易所,长沙通程控股股份有限公司，周兆达，周拥泽，郭虎清，柳植，杨格艺，曹光荣，鲁应时，潘定衢，李晞
000421,南京公用,2010-04-08,30.0000万元,行政处罚，罚款,中国证券监督管理委员会,南京中北(集团)股份有限公司，郭试平，斯庆，许正苟，薛乐群，李华飞，徐益民，周学信
000421,南京公用,2005-09-20,--,公开谴责,深圳证券交易所,公司，薛乐群、郭试平、李华飞、徐益民、周学信、许正
